YOM,Engine (cc),Gear,Millage(KM),Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,Year_Listed,Month_Listed,Car_Age,Mileage_per_year,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_Petrol,Brand_Freq,Model_Freq,Brand_AvgPrice,Model_AvgPrice,BrandModel_AvgPrice,BrandModelYear_AvgPrice,Luxury_Brand
2011,800.0,0,154000.0,0,0,1,1,1,1,857500.0000000001,2025,1,14,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1297250.0,0
2007,800.0,0,198000.0,0,0,1,1,1,1,1675000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2006,800.0,0,209000.0,0,0,1,1,1,1,1225000.0,2025,1,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2007,800.0,0,198000.0,0,0,1,1,1,1,1250000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2007,800.0,0,198000.0,0,0,1,1,1,1,1285000.0,2025,1,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2008,798.0,0,187000.0,0,0,0,1,1,1,1837500.0,2025,1,17,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1579166.6666666667,0
2007,800.0,0,198000.0,0,0,1,1,1,1,1260000.0,2024,12,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2012,800.0,0,143000.0,0,0,1,1,1,1,1420000.0,2024,12,13,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1497500.0,0
2006,812.0,0,209000.0,0,0,1,1,1,1,1225000.0,2024,12,19,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1133409.0909090908,0
2007,800.0,0,198000.0,0,0,1,1,1,1,1348000.0,2024,12,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
2017,800.0,0,88000.0,0,0,1,1,1,1,1795000.0,2024,12,8,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1795000.0,0
2007,800.0,0,198000.0,0,0,1,1,1,1,1285000.0,2024,12,18,11000.0,0.0,0.0,0.0,1.0,44,39,1385096.5909090908,1346006.4102564103,1346006.4102564103,1348000.0,0
